IVV: iShares Core S&P 500 ETF
Inception Date: 2000-05-15
Fund Holdings as of: 2026-01-16
Total Assets Under Management (in thousands):	766197000
Shares Outstanding: 1102350000
Expense Ratio: 0.03%
Tracks This Index: S&P 500 Index
ETF Database Category: Large Cap Growth Equities
"Issuer: BlackRock, Inc."
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IVV


Holding,Symbol,Weighting
AES Corporation,AES,0.017%
Norwegian Cruise Line Holdings Ltd.,NCLH,0.0169%
BXP Inc,BXP,0.0168%
"Molina Healthcare, Inc.",MOH,0.0166%
News Corporation Class A,NWSA,0.0166%
Fox Corporation Class B,FOX,0.0164%
"Wynn Resorts, Limited",WYNN,0.0162%
Generac Holdings Inc.,GNRC,0.0159%
APA Corporation,APA,0.0154%
"Alexandria Real Estate Equities, Inc.",ARE,0.0152%
Pool Corporation,POOL,0.0148%
"Skyworks Solutions, Inc.",SWKS,0.0144%
Mosaic Company,MOS,0.0141%
Molson Coors Beverage Company Class B,TAP,0.0139%
A. O. Smith Corporation,AOS,0.0138%
"Conagra Brands, Inc.",CAG,0.0137%
Federal Realty Investment Trust,FRT,0.0137%
"Henry Schein, Inc.",HSIC,0.0135%
"Franklin Resources, Inc.",BEN,0.0134%
"Match Group, Inc.",MTCH,0.0125%
"Paycom Software, Inc.",PAYC,0.0122%
Erie Indemnity Company Class A,ERIE,0.0121%
MGM Resorts International,MGM,0.012%
Hormel Foods Corporation,HRL,0.0119%
"Lamb Weston Holdings, Inc.",LW,0.0102%
Campbell\'s Company,CPB,0.0087%
Brown-Forman Corporation Class B,BF.B,0.0078%
News Corporation Class B,NWS,0.0064%
DaVita Inc.,DVA,0.0062%
Paramount Skydance Corporation Class B,PSKY,0.0061%
